AC Type,City,Cn/Ln,Country,Date,Location,Operator,Registration,Route,Summary,Time,Aboard,Aboard Crew,Aboard Passangers,Crashes,Fatalities,Fatalities Crew,Fatalities Passangers,Flight #,Ground
Swearingen SA-226TC / Mooney M-20C,Salt Lake City,TC-327 /, Utah,1/15/1987,"Salt Lake City, Utah",Skywest Airlines / Private.,N163SW / N6485U,Pocatello - Salt Lake City,"Midair collision with a Mooney M-20 at 7,000 ft. Ten killed on the Swearingen and none on the Mooney.  Procedures and directives not followed by the Mooney pilot. Lack of navigational vigilance by the Mooney instructor pilot which led to the authorized intrusion into the Salt Lake City airport radar service area. Contributing factor was the absence of a Mode-C transponder on the Mooney airplane and the limitations of the air traffic control system to provide collision protection.",12/30/1899 12:52:00 PM,10,2,8,1,10,2,8,1834,0
Yakovlev YAK-40,Tashkent,9131918, Uzbekistan,1/16/1987,"Tashkent, Uzbekistan",Aeroflot,CCCP-87618,Tashkent - Shahrizyabz,"While taking off, the aircraft banked sharply to the left and crashed. Encounted a wake vortex from another aircraft.",12/30/1899 8:11:00 AM,9,4,5,1,9,4,5,,0
Embraer 110P2 Bandeirante,Off Papua,110-262, New Guinea,2/6/1987,"Off Papua, New Guinea",Talair,P2-RDM,Rabaul - Hoskins,Ditched into the sea in poor weather conditions.,,17,2,15,1,14,2,12,,0
Antonov AN-26,Near Khost,, Afghanistan,2/9/1987,"Near Khost, Afghanistan",Military - Afghan Republican Air Force,,Khost - Kabul,Shot down by a Stinger missile by Afghan guerillas.,12/30/1899 11:30:00 AM,36,6,30,1,36,6,30,,0
CASA 212 Aviocar 200,Detroit,160, Michigan,3/4/1987,"Detroit, Michigan",Northwest Airlink,N160FB,Cleveland - Detroit,"While approaching to land the plane suddenly yawed to the left, rolled right and struck ground left of the runway. It then skidded into 3 ground vehicles and caught fire. The captain's inability to control the airplane in an attempt to recover from an asymmetric power condition at low speed following his intentional use of the beta mode of propeller operation to descend and slow the airplane rapidly on final approach for landing. The fatalities were attributed to a post crash fire, lack of fire-blocking material, and poorly designed aircraft components. Improper use of powerplant controls. Improper maintenance adjustment.",12/30/1899 2:34:00 PM,22,2,20,1,9,2,7,2268,0
Antonov An-26,Near Almaty,9901, Kazakhstan,3/6/1987,"Near Almaty, Kazakhstan",Aeroflot,CCCP-26007,	Biysk - Alma-Ata,The cargo plane struck the side of a mountain while setting up for the approach. The ATC didn't monitor the plane for at least  2 minutes after observing the plane taking a wrong course. When the ATC tried to contact the plane to tell them of the mistake the crew never responded because communications in the vicinity of the mountain blocked the signal.,12/30/1899 7:10:00 PM,9,5,4,1,9,5,4,,0
Boeing KC-135,Spokane,18136/475, Washington,3/13/1987,"Spokane, Washington",Military - U.S. Air Force,60-0361,Training,Stalled and went into a spin during a low-level refueling practice. The stall was propagated by the wake of a B-52.,,6,6,0,1,6,6,0,,1
F-4C Phantom jet fighter,Mount San Gorgonio,1403, California,3/21/1987,"Mount San Gorgonio, California",California Air National Guard,64-0923,,"Dean Paul ""Dino"" Martin, 35, son of entertainer Dean Martin was killed when the Phantom jet he was piloting crashed into the San Bernardino Mountains. Permission was given by March Air Force Base ATC to perform a ""maximum climb"" takeoff. The aircraft was seen disappearing into a scattered cloud ceiling at 4,700 feet.  Radar contact was lost 9 minutes into the flight. The crash site was found on the 3rd day of searching in the San Bernardino Mountains. An investigation revealed the aircraft flew, inverted, into a solid wall of granite between two mountain peaks at an altitude of 3,750 feet  and at an estimated speed of 560 mph. The aircraft was literally pulverized into the granite. The ""maximum climb"" takeoff, g forces associated with this type of flight and the dense cloud cover negatively affected the pilots ability to know his position and aircraft attitude.",12/30/1899 1:55:00 PM,2,2,0,1,2,2,0,,0
Antonov AN-26,Near Parachinar,, Pakistan,3/30/1987,"Near Parachinar, Pakistan",Military - Afghan Republican Air Force,,Kaboul-Khost,Shot down by a Pakistani F-16 jet fighter firing an air-to-air missile.,12/30/1899 11:00:00 AM,40,4,36,1,40,4,36,,0
McDonnell Douglas DC-9-32,Medan-Polonia,47741/836, Indonesia,4/4/1987,"Medan-Polonia, Indonesia",Garuda Indonesia Airlines,PK-GNQ,Banda Aceh - Medan,The aircraft crashed on approach during heavy rain after hitting an antenna. Windshear.,12/30/1899 2:40:00 PM,45,8,37,1,27,4,23,35,0
Boeing 707-351C,Kansas City,19209/510, Kansas,4/13/1987,"Kansas City, Kansas",Burlington Air Express,N144SP,Wichita - Kansas City,The cargo plane flew into the ground short of the runway despite warnings from the controller. Improper IFR procedure. Disregarded decision height. Disregarded warnings.,12/30/1899 9:55:00 PM,4,3,1,1,4,3,1,,0
Swearingen SA-26TC Metro II,Wilmington,TC-202, North Carolina,4/23/1987,"Wilmington, North Carolina",Air-Lift Commuter,N505LB,Wilmington - Lumberton,The cargo plane lost the No. 2 engine while taking off and crashed into trees and caught fire. Poor in-flight planning. Emergency procedures not followed. The right engine did not have the latest welding process and failed causing a uncontained turbine failure.,12/30/1899 7:35:00 PM,2,2,0,1,2,2,0,,0
Cessna 404 Titan II,Malakal,404-0612, Sudan,5/5/1987,"Malakal, Sudan",Sasco Air Lines,ST-AIJ,Malakal-Khartoum,Shot down by rebels shortly after taking off.,,14,2,12,1,14,2,12,,0
CASA 212 Aviocar 200,Mayaguez,271, Puerto Rico,5/8/1987,"Mayaguez, Puerto Rico",American Eagle,N432CA,"San Juan, PR - Mayaguez, PR",Improper maintenance in setting propeller flight idle blade angle and engine fuel flow resulting in a loss of control from an asymmetric power condition. A factor contributing to the accident was the pilot's unstabilized visual approach.,12/30/1899 6:50:00 AM,6,2,4,1,2,2,0,5452,0
Ilyushin IL-62M,Warsaw,3344942, Poland,5/9/1987,"Warsaw, Poland",LOT Polish Airlines,SP-LBG,Warsaw - New York City,"The No. 2 engine failed, causing an engine fire, cabin decompression, damage to the  No. 1 engine, loss of  elevator control and damage to the electrical system. A fire in the cargo hold was not detected because of damage to the fire warning system. While attempting to return to Warsaw and attempting a turn to land, the aircraft crashed into a forest, 9 miles short of the runway. The cause of the engine failure was an overheated bearing. The aircraft was named Tadeusz Kosciuszko.",12/30/1899 11:12:00 AM,183,11,172,1,183,11,172,5055,0
Douglas C-47B,Pickle Lake,26324, Canada,5/11/1987,"Pickle Lake, Ontario, Canada",Air Manitoba,C-FADD,Big Trout - Pickle Lake,The cargo plane lost the left wing while in a holding pattern. The left wing failed under normal flight loads as a result of a fatigue crack in the center section lower wing skin. Anomalies in the radiographs taken during mandatory non-destructive testing inspections were not correctly interpreted.,12/30/1899 6:00:00 PM,2,2,0,1,2,2,0,,0
de Havilland Canada DHC-6 Twin Otter 300,Santa Cruz,363, Bolivia,5/20/1987,"Santa Cruz, Bolivia",YPFB Transportes Aereos,CP-1018,Camiri - Santa Cruz,Crashed into high terrain in poor weather.,,16,3,13,1,14,3,11,,0
de Havilland Canada DHC-6 Twin Otter 300,Near Ruteng,474, Indonesia,5/23/1987,"Near Ruteng, Indonesia",Merpati Nusantara Airlines,PK-NUW,,Crashed into a ditch while attempting to land at Ruteng.,,8,2,6,1,8,2,6,,0
de Havilland Canada DHC-6 Twin Otter 100,Ilaga,76, Indonesia,5/25/1987,"Ilaga, Indonesia",Missionary Aviation Fellowship,PK-MAM,,Crashed into a ravine while attempting to land.,,30,1,29,1,7,1,6,,0
Antonov AN-26,Khost,14105, Afghanistan,6/11/1987,"Khost, Afghanistan",Bakhtar Afghan Airlines,YA-BAL,Khost-Kaboul,Shot down by rebel forces with a surface-to-air missile.,12/30/1899 6:30:00 AM,53,5,48,1,53,5,48,,0
Antonov AN-26,Near Montelillo,5805, Peru,6/18/1987,"Near Montelillo, Peru",Military - Peruvian Air Force,FAP-392,Lima - Saposa,Crashed into a gorge near the Jerache River  while en route on a domestic flight in adverse weather conditions.,12/30/1899 10:00:00 AM,46,6,40,1,46,6,40,,0
Yakovlev YAK-40,Berdiansk,9241824, USSR,6/19/1987,"Berdiansk, USSR",Aeroflot,CCCP-87826,	Odessa - 	Berdyansk,"The aircraft landed at a high rate of speed and a go-around was initiated but then aborted. The aircraft overran the runway, crashed into trees and caught fire.",12/30/1899 11:22:00 AM,29,5,24,1,8,2,6,,0
Fokker F-27 Friendship 200,Heho,10357, Burma,6/21/1987,"Heho, Burma",Burma Airways,XY-ADP,Heho - Mong Hsat,"Crashed into mountains at 8,200 ft. 20 minutes after leaving Heho.",,45,4,41,1,45,4,41,,0
Hawker Siddeley HS-748-209 Srs. 2,Near Baguio,1637, Philippines,6/26/1987,"Near Baguio, Philippines",Philippine Air Lines,RP-C1015,Manila - Baguio,The aircraft crashed into Mt. Ugu in monsoon rains and heavy fog while preparing to land at Baguio.,12/30/1899 11:03:00 AM,50,4,46,1,50,4,46,,0
Lockheed C-130E Hercules,Fort Bragg AFB,4325, North Carolina,7/1/1987,"Fort Bragg AFB, North Carolina",Military - U.S. Air Force,68-10945,,"The aircraft was doing a drop and pulled up too late. The airplane skidded 1,000 yards down a dirt runway and struck a military vehicle, killing an Army soldier. The plane then impacted trees and broke up.",,6,6,0,1,4,4,0,,1
McDonnell Douglas DC-10-30,Geneva,, Switzerland,7/24/1987,"Geneva, Switzerland",Air Afrique,,Brazzaville - Paris,"Hijacked while en route from Rome, Italy to Paris, France. The hijacker killed one male passenger when the plane landed at Cointrin Airport in Switzerland to refuel, after which the plane was stormed by security personnel.",,163,,,1,1,,,56,0
Boeing B-377 Stratofreighter,Mexico City,16687, Mexico,7/30/1987,"Mexico City, Mexico",Belize Air International Ltd.,HI-481,Mexico City - Miami,The cargo plane crashed on a roadway into a restaurant after taking off  in adverse weather conditions. Overloaded. Cargo shifted on takeoff.,12/30/1899 5:03:00 PM,12,2,10,1,5,1,4,,44
Boeing B-737-2A1,Calama,22602, Chile,8/4/1987,"Calama, Chile",LAN,CC-CHJ,Santiago - Calama,"The landing gear failed after the aircraft touched down 520 meters short of the runway, broke in two and caught fire.",,33,3,30,1,2,0,2,,0
McDonnell Douglas MD-82,Romulus,48090/1040, Michigan,8/16/1987,"Romulus, Michigan",Northwest Airlines,N312RC,"Detroit, MI - Phoenix, AZ","The aircraft stalled and crashed during takeoff from Detroit Metropolitan Wayne County Airport. After liftoff, the wings of the airplane rolled to the left and right  and then the aircraft collided with obsticales northeast of the runway when the left wing struck light poles and the roof of a rental car agency. A 4-year-old girl, Cecilia Cichan, was the only survivor. Slats and flaps not extended. Crew's failure to use taxi checklist to ensure flaps and slats were extended. Lack of electrical power to the aircraft takeoff warning system. The unit may have been turned off by pilot due to nuisance alarms.Cecelia is now married and earned a Psychology degree from the University of Alabama. Although she has made no public statements or attended annual memorial services regarding the tragic crash, she corresponds with some of the crash victimsâ€™ loved ones.",12/30/1899 8:46:00 PM,155,6,149,1,154,6,148,255,2
Boeing B-737-2P5,Off Ko Phuket,22267/685, Thailand,8/31/1987,"Off Ko Phuket, Thailand",Thai Airways,HS-TBC,Hat Yai - Phuket,The aircraft stalled and crashed into the ocean after the crew's attention was diverted to concern over another aircraft. Failure of the crew to monitor their airspeed. The pilot added power and raised the gear after the stick shaker activated but did not execute a recovery before hitting the sea.,12/30/1899 3:36:00 PM,83,9,74,1,83,9,74,365,0
Hawker Siddeley HS-125-403B,Carajas,25290, Brazil,9/8/1987,"Carajas, Brazil",Military - Brazilian Air Force,FAB2129,,Crashed during takeoff.,,9,2,7,1,9,2,7,,0
Antonov AN-26,Kunduz,, Afghanistan,9/13/1987,"Kunduz, Afghanistan",Aeroflot,,Kaboul-Kunduz,Shot down by Afghan rebels on approach.,,15,2,13,1,15,2,13,,0
Airbus A.300B4-203,Luxor,115, Egypt,9/21/1987,"Luxor, Egypt",EgyptAir,SU-BCA,Training,"The plane landed too far down the runway, overran the runway, struck runway lights went through a fence and broke up.",12/30/1899 9:05:00 AM,5,5,0,1,5,5,0,,0
de Havilland Canada DHC-6 Twin Otter 310,El Poleo,419, Colombia,10/11/1987,"El Poleo, Colombia",Aeroejecutivos Colombia,HK-2920,,The aircraft crashed while attempting to make an emergency landing.,,9,2,7,1,2,2,0,,0
Fokker F-27 Friendship 500,Near Pagan,10689, Myanmar,10/11/1987,"Near Pagan, Myanmar",Burma Airways,XY-AEL,Rangoon - Nyaung-U,"The aircraft crashed into a ridge at 1, 500 ft. in heavy rain while attempting to land at Nyaung-U Airport .",,49,4,45,1,49,4,45,,0
Aerospatiale Alenia ATR-42-312,Mt. Crezzo,46, Italy,10/15/1987,"Mt. Crezzo, Italy",Aero Transporti Italiani,I-ATRH,Milan - Koln,"Shortly after taking off from Milan and passing through FL147, the aircraft nosed down and crashed into a mountain, in icing conditions. Icing of the wings.",12/30/1899 6:28:00 PM,37,3,34,1,37,3,34,460,0
Antonov An-12B,Komsomolsk-on-Amur,9346702, Russia,10/19/1987,"Komsomolsk-on-Amur, Russia",MAP,CCCP-12162,,The plane overran the runway while attempting to take off crashed into a building and was destroyed.,,9,7,2,1,9,7,2,,0
A-7D Corsair,Indianapolis,, Indiana,10/20/1987,"Indianapolis, Indiana",Military - U.S. Air Force,,"Pittsburg, PA - Nellis AFB","The military plane attempted to make an emergency landing at Indianapolis International Airport after having a flameout 30 miles east of Indianapolis. The controller apparently gave bad directions which led to the pilot attempting to circle the airport. He couldn't make a landing and ejected at 500 ft,. The Corsair hit the top of a Bank One building about one mile from the runway, went airborne again for 250 ft.' and hit the front of a 7-story Airport Ramada Inn. The engine and cockpit went into the lobby, the wings into the next floor above. Twenty thousand pounds of fuel ignited killing nine people in the hotel's lobby (a 10th died later). The pilot survived.",12/30/1899 8:15:00 AM,11,11,0,1,10,10,0,,10
Shorts SC-7 Skyvan 3-100,Ulongue,SH-1971, Malawi,11/6/1987,"Ulongue, Malawi",Air Malawi,7Q-YMB,Blantyre - Lilongwe,Shot down by rebels.,12/30/1899 8:30:00 AM,10,2,8,1,10,2,8,,0
McDonnell Douglas DC-9-14,Denver,45726/36, Colorado,11/15/1987,"Denver, Colorado",Continental Airlines,N626TX,"Denver, CO - Boise, ID","Crashed while taking off in a snowstorm. Failure to obtain taxi clearance, confused the ground controller when the plane reached the runway. The plane was not cleared to take off until 27 minutes after de-icing. During takeoff, the first officer overrotated and with the icing, the plane stalled, crashed, and overturned. Both captain and first officer were inexperienced in their respective jobs.",12/30/1899 2:15:00 PM,82,5,77,1,28,3,25,1713,0
Beechcraft 1900C,Homer,UB-58, Alaska,11/23/1987,"Homer, Alaska",Ryan Air Services,N401RA,Kodiak - Homer,The aircraft crash landed 200 yards short of the runway while attempting to land at Homer Airport. Failure of the crew to supervise the loading of the aircraft which resulted in a shift of the center of gravity which caused the plane to lose control when the flaps were lowered for landing.,12/30/1899 6:25:00 PM,21,2,19,1,18,2,16,103,0
Boeing B-747-244B Combi,Off Mauritius,22171/488, Indian Ocean,11/28/1987,"Off Mauritius, Indian Ocean",South African Airways,ZS-SAS,"Taipei, Taiwan -  Mauritius - Johannesburg, South Africa","While over the Indian Ocean the crew contacted Mauritius approach control and reporting fire and smoke aboard. Three minutes after the last transmission the plane the plunged into the ocean 150 miles northeast of Mauritius. The fire caused incapacitation and disorientation of the crew, in-flight break-up and loss of control of the aircraft.  The fire originated in a front pallet on the right side in the upper deck cargo hold. The fire of unknown origin possibly (1) incapacitated the crew; (2) caused disorientation of the crew due to thick smoke; (3) caused crew distraction; (4) weakened the aircraft structure, causing an in-flight break-up; (5) burned through control cables or ; (6) caused loss of control due to deformation of the aircraft fuselage. It has been rumored that an unstable substance, not listed on the manifest, was illigally being shipped and started the fire though this has never been proven.",12/30/1899 4:00:00 AM,159,19,140,1,159,19,140,295,0
